Message,Category
Fridge repair,['Electrical Work']
I need my fridge repair,['Electrical Work']
repair fridge/refrigerators,['Electrical Work']
my fridge/refrigerators is broken,['Electrical Work']
fridge/refrigerators installation,['Electrical Work']
fridge/refrigirerators plug replace,['Electrical Work']
my fridge refrigirators stops,['Electrical Work']
my fridge is hot,['Electrical Work']
my fridge is not cold,['Electrical Work']
my fridge light don't work,['Electrical Work']
electricity don't go in my fridge,['Electrical Work']
I need my outlet replace,['Electrical Work']
my outlet is broken,['Electrical Work']
my outlet don't work,['Electrical Work']
my outlet on fire,['Electrical Work']
outlet work,['Electrical Work']
outlet installation,['Electrical Work']
outlet repair,['Electrical Work']
outlet technician,['Electrical Work']
I need my outlet replace,['Electrical Work']
my light bulb wire is broken,['Electrical Work']
my light bulb don't work,['Electrical Work']
my light don't work,['Electrical Work']
my light switch don't work,['Electrical Work']
change light switch,['Electrical Work']
light switch repair,['Electrical Work']
light switch installation,['Electrical Work']
my light switch emitting shocks,['Electrical Work']
Fan installation,['Electrical Work']
fan repair,['Electrical Work']
my fan don't work,['Electrical Work']
I need my fan fixed,['Electrical Work']
I need my fan repair,['Electrical Work']
I need my fan installed,['Electrical Work']
my fan stopped working,['Electrical Work']
ceiling fan work,['Electrical Work']
Washing machine fix,['Electrical Work']
I need my washing machine fixed,['Electrical Work']
my washing machine is broken,['Electrical Work']
my washing machine is making noise,['Electrical Work']
washing machine repair,['Electrical Work']
I want my ceiling fans fixed,['Electrical Work']
I want my fan repair,['Electrical Work']
my fan is broken,['Electrical Work']
I want my fan installed,['Electrical Work']
 I want help with my fridge,['Electrical Work']
my fans stopped working,['Electrical Work']
my stove is not working,['Electrical Work']
stove fix,['Electrical Work']
I want my stove repair,['Electrical Work']
I need help with my stove,['Electrical Work']
repair stove,['Electrical Work']
my stove don't work,['Electrical Work']
my stove stop working,['Electrical Work']
I need my stove fixed,['Electrical Work']
I need to get my tv mounted,['Electrical Work']
tv mounting,['Electrical Work']
I need my tv mounted,['Electrical Work']
tv mounting work,['Electrical Work']
mounting,['Electrical Work']
I want to wire something to my backyard,['Electrical Work']
I want to wire something to my front yard,['Electrical Work']
I want to fix my wires,['Electrical Work']
I want wire job,['Electrical Work']
my heat don't work,['Electrical Work']
I want my Heat fix,['Electrical Work']
I want/need help fixing my heat,['Electrical Work']
I want/need my doorbell repair,['Electrical Work']
I need/want my doorbell installed,['Electrical Work']
I need/want to repair my doorbell,['Electrical Work']
I want my ring door install,['Electrical Work']
doorbell Installation,['Electrical Work']
I want my camera doorbell install,['Electrical Work']
my doorbell is broken,['Electrical Work']
I want to put light in my backyard,['Electrical Work']
I want to put light in my frontyard,['Electrical Work']
I need light on my balcony,['Electrical Work']
my wires don't work,['Electrical Work']
my air conditioner don't work,['Electrical Work']
My AC don't work,['Electrical Work']
I need my Air conditioning repair,['Electrical Work']
my washer machine don't work,['Electrical Work']
I need my washer machine Repair,['Electrical Work']
my Dryer machine don't work ,['Electrical Work']
I need my dryer repair,['Electrical Work']
my dish washer is not working,['Electrical Work']
I need my dish washer repair,['Electrical Work']
my dish washer is broken,['Electrical Work']
my main service panel is not working,['Electrical Work']
main service panel troubleshoot,['Electrical Work']
I need my main service panel repair,['Electrical Work']
I need my service panel installed,['Electrical Work']
my thermostat don't work,['Electrical Work']
I need new thermostat Installed,['Electrical Work']
smart thermostat Installed,['Electrical Work']
I need my thermostat repair,['Electrical Work']
there's a circuit blown in my house,['Electrical Work']
my circuits don't work,['Electrical Work']
I need electrical work in my garage ,['Electrical Work']
I need wiring work on my garage door,['Electrical Work']
table assembly,['Handyman']
I want my table moved,['Moving']
I want my table fixed,['Handyman']
Paint job for rooms,['Painting']
I have to paint the room,['Painting']
I'd like to change the color of my room,['Painting']
Repaint my room,['Painting']
Changing the color of the whole room,['Painting']
Decorating my room,['Painting']
Paint my room,['Painting']
I want a room painted,['Painting']
My room needs painting,['Painting']
Painting,['Painting']
Room Painting,['Painting']
Room needs painting,['Painting']
I need painting service in my room,['Painting']
Painting assistance needed in my room,['Painting']
My room require paint,['Painting']
White,['Painting']
Cream,['Painting']
Coloring,['Painting']
Redo my wall and ceiling,['Painting']
I want to redo my whole room,['Painting']
Redesign room,['Painting']
Remodeling,['Painting']
Trying a different room color,['Painting']
My room needs a paintjob,['Painting']
I want to add some color to my living room,['Painting']
Bright colors for living room,['Painting']
my house require painting service,['Painting']
Painting service is needed on my ceiling,['Painting']
My paint has a nasty color,['Painting']
I have to decorate my living room,['Painting']
I need some repainting done,['Painting']
I want to add another color to my living room,['Painting']
Bathroom paint,['Painting']
Recoloring the living room,['Painting']
House needs painting,['Painting']
I need my paint redone,['Painting']
Services of painting required,['Painting']
Painting fix,['Painting']
Fix my painting,['Painting']
Fixing my wall paint,['Painting']
Repaint,['Painting']
Paint Sevices,['Painting']
House paiting,['Painting']
The need of painting services,['Painting']
May I get the painting service in my home,['Painting']
Recoloring the house,['Painting']
Deals for paintjob,['Painting']
Painting package,['Painting']
People with painting skills,['Painting']
Assistance of painters needed,['Painting']
Drywall repair,['Painting']
Interior painting,['Painting']
Exterior Painting,['Painting']
Painters,['Painting']
I want a flat paint done,['Painting']
Peeled wall fixing,['Painting']
Semi-gloss painting needed,['Painting']
Shiny painting,['Painting']
I need my ceiling paint,['Painting']
Surface painting,['Painting']
Theres a mark on my wall,['Painting']
Chair painting,['Painting']
Painting my home,['Painting']
Paint service for my house,['Painting']
I want to paint my cabinet,['Painting']
My shelves has to be painted,['Painting']
There is a hole needs covering,['Painting']
I need to paint my table,['Painting']
Wood coloring repairb,['Painting']
Wood painting,['Painting']
Dog house needs painting,['Painting']
Patio decorating,['Painting']
Quick Coloring house fix,['Painting']
Painting my shed,['Painting']
Shed painting service needed,['Painting']
I need help painting my house,['Painting']
Help with painting my home,['Painting']
Paint a stained wall,['Painting']
My stain wall needs repair,['Painting']
The inside of my house needs painting,['Painting']
Unstain my ceiling,['Painting']
Assistance with painting,['Painting']
Assist with painting,['Painting']
Inside of my pool needs painting,['Painting']
Pool painting,['Painting']
Paint my stairs,['Painting']
Paiting my porch,['Painting']
I need help painting my porch,['Painting']
Painting my apartment,['Painting']
Painting my front door,['Painting']
Apartment decorating,['Painting']
My deck need painting,['Painting']
I want to paint my kitchen,['Painting']
Kitchen cabinets need painting,['Painting']
Paint my apartment walls,['Painting']
My apartment need to be repainted,['Painting']
My bathroom needs paints,['Painting']
Bathtub need painting,['Painting']
Fixing bad painting,['Painting']
Repaint my walls,['Painting']
Fixing the paint,['Painting']
I want my grass cut,['Landscaping ']
my grass is to high,['Landscaping ']
I want landscaping experts,['Landscaping ']
my grass needs a cut,['Landscaping ']
my front yard needs a cut,['Landscaping ']
my back yard needs a cut,['Landscaping ']
I need somebody to cut my grass,['Landscaping ']
can I send a picture of my yard,['Landscaping ']
how can I get my grass cut,['Landscaping ']
how can I get my grass greener,['Landscaping ']
my grass is horrible,['Landscaping ']
I want landscape service,['Landscaping ']
landscape services,['Landscaping ']
I need my yard mowed,['Landscaping ']
I need mowing service,['Landscaping ']
my yard needs to be mowed,['Landscaping ']
I need lawn service,['Landscaping ']
I need grass masters,['Landscaping ']
I need weekly mowing and care,['Landscaping ']
my yard need mowing services,['Landscaping ']
how can I get my yard mowed,['Landscaping ']
I want my turf done,['Landscaping ']
I need landscape maintenance,['Landscaping ']
I need lawn care,['Landscaping ']
I need maintenance,['Landscaping ']
I want my grass trim,['Landscaping ']
my front yard needs trimming,['Landscaping ']
my back yard needs to be trimmed,['Landscaping ']
can I trim my grass,['Landscaping ']
I need the edges of my grass,['Landscaping ']
I need help cleaning my backyard,['Landscaping ']
my front yard need fertilizing work,['Landscaping ']
my backyard needs attention,['Landscaping ']
I need new grass,['Landscaping ']
my grass is not being fertilized,['Landscaping ']
I need to plant new flowers,['Landscaping ']
my flowers needs design,['Landscaping ']
how can I make my flowers fertilized,['Landscaping ']
I need to airate and seed my lawn,['Landscaping ']
I want to plant privacy trees,['Landscaping ']
what kind of lawn service can I get,['Landscaping ']
we need to plant trees in backyard,['Landscaping ']
planting arborvitae trees,['Landscaping ']
removing tree with roots,['Landscaping ']
removing roots,['Landscaping ']
I need lawn cleaning,['Landscaping ']
looking for lawn service,['Landscaping ']
I need branches remove,['Landscaping ']
hedge lawn,['Landscaping ']
In need of aerate and dethatch lawn,['Landscaping ']
I need to seed my soil,['Landscaping ']
Install flower beds,['Landscaping ']
I want someone to clean my house,['Cleaning Service']
My room is dirty,['Cleaning Service']
My garbage is dirty,['Cleaning Service']
need to clean out my basement,['Cleaning Service']
full house cleaning,['Cleaning Service']
bathroom deep clean,['Cleaning Service']
kitchen deep clean,['Cleaning Service']
